title,href,dealDate,totalPrice,positionInfo,unitPrice,dealHouseTxt
当代国际城 2室2厅 83.6平米,https://wh.lianjia.com/chengjiao/104105130530.html,2020.11.01,169万,中楼层(共30层) 2016年建板楼,20216元/平,房屋满两年近地铁
当代国际城 2室2厅 84平米,https://wh.lianjia.com/chengjiao/104105167659.html,2020.10.28,152万,低楼层(共30层) 2018年建板楼,18096元/平,近地铁
当代国际城 3室2厅 112.7平米,https://wh.lianjia.com/chengjiao/104104808748.html,2020.10.25,228万,高楼层(共31层) 2017年建板楼,20231元/平,近地铁
当代国际城 3室2厅 112.16平米,https://wh.lianjia.com/chengjiao/104102601795.html,2020.10.25,240万,高楼层(共30层) 2016年建板楼,21399元/平,近地铁
当代国际城 2室2厅 83.75平米,https://wh.lianjia.com/chengjiao/104105241842.html,2020.10.24,170万,中楼层(共30层) 2016年建板楼,20239元/平,近地铁
当代国际城 3室2厅 118.15平米,https://wh.lianjia.com/chengjiao/104105180548.html,2020.10.11,188万,低楼层(共11层) 2017年建板楼,15912元/平,近地铁
当代国际城 3室2厅 112平米,https://wh.lianjia.com/chengjiao/104103189410.html,2020.10.10,218万,中楼层(共30层) 2017年建板楼,19420元/平,近地铁
当代国际城 3室2厅 119.74平米,https://wh.lianjia.com/chengjiao/104105034533.html,2020.10.08,269万,中楼层(共11层) 2016年建板楼,22466元/平,房屋满两年近地铁
当代国际城 2室2厅 84.07平米,https://wh.lianjia.com/chengjiao/104104066740.html,2020.10.05,166万,高楼层(共31层) 2019年建板楼,19746元/平,近地铁
当代国际城 3室1厅 103.07平米,https://wh.lianjia.com/chengjiao/104104660834.html,2020.10.01,212万,中楼层(共11层) 2016年建板楼,20569元/平,近地铁
当代国际城 3室2厅 112.17平米,https://wh.lianjia.com/chengjiao/104104062248.html,2020.09.28,225万,低楼层(共30层) 2016年建板楼,20015元/平,房屋满两年近地铁
当代国际城 2室2厅 83.85平米,https://wh.lianjia.com/chengjiao/104103537699.html,2020.09.27,158万,中楼层(共30层) 2018年建板楼,18844元/平,近地铁
当代国际城 3室2厅 118.33平米,https://wh.lianjia.com/chengjiao/104104427548.html,2020.09.27,188万,低楼层(共11层) 2015年建板楼,15888元/平,近地铁
当代国际城 3室1厅 103.07平米,https://wh.lianjia.com/chengjiao/104105022177.html,2020.09.16,214万,中楼层(共11层) 2016年建板楼,20715元/平,房屋满两年近地铁
当代国际城 3室1厅 112.17平米,https://wh.lianjia.com/chengjiao/104104832515.html,2020.09.01,218万,低楼层(共30层) 2016年建板楼,19435元/平,近地铁
当代国际城 3室2厅 118平米,https://wh.lianjia.com/chengjiao/104103855995.html,2020.08.30,213万,低楼层(共11层) 2017年建板楼,18051元/平,近地铁
当代国际城 2室2厅 83.85平米,https://wh.lianjia.com/chengjiao/104104020389.html,2020.08.29,154万,低楼层(共30层) 2017年建板楼,18367元/平,近地铁
当代国际城 2室2厅 83.85平米,https://wh.lianjia.com/chengjiao/104104845744.html,2020.08.29,164万,高楼层(共30层) 2017年建板楼,19559元/平,近地铁
当代国际城 3室2厅 112.25平米,https://wh.lianjia.com/chengjiao/104104720180.html,2020.08.27,229万,中楼层(共30层) 2016年建板楼,20401元/平,
当代国际城 2室2厅 83.85平米,https://wh.lianjia.com/chengjiao/104104543863.html,2020.08.16,160万,低楼层(共30层) 2017年建板楼,19082元/平,近地铁
当代国际城 2室2厅 83平米,https://wh.lianjia.com/chengjiao/104104804449.html,2020.08.16,163万,低楼层(共30层) 2016年建板楼,19639元/平,近地铁
当代国际城 2室2厅 83.6平米,https://wh.lianjia.com/chengjiao/104104145915.html,2020.08.13,152万,高楼层(共30层) 2016年建板楼,18123元/平,近地铁
当代国际城 3室2厅 112.36平米,https://wh.lianjia.com/chengjiao/104104637510.html,2020.08.09,208万,低楼层(共30层) 2017年建板楼,18512元/平,近地铁
当代国际城 3室2厅 112平米,https://wh.lianjia.com/chengjiao/104104708479.html,2020.07.31,218万,高楼层(共30层) 2017年建板楼,19465元/平,近地铁
当代国际城 3室2厅 119.78平米,https://wh.lianjia.com/chengjiao/104104410873.html,2020.07.27,213万,高楼层(共11层) 2017年建板楼,17741元/平,近地铁
当代国际城 2室2厅 84.04平米,https://wh.lianjia.com/chengjiao/104104472485.html,2020.07.19,162万,中楼层(共31层) 2017年建板楼,19277元/平,近地铁
